id,gender,last,book,child,youth,cook,do_it,reference,art,geog,buyer
10213,1,7,38,0,0,2,0,0,1,0,0
10214,0,23,15,0,0,0,0,0,1,0,0
10215,0,9,15,1,0,0,0,0,0,0,0
10220,0,25,138,5,1,0,2,1,1,2,0
10222,1,13,29,0,0,1,0,0,0,1,0
10224,1,11,15,0,1,0,0,0,0,0,0
10225,1,15,15,0,0,0,0,1,0,0,0
10227,1,3,15,0,0,0,0,1,0,0,0
10228,0,3,97,1,3,2,2,0,0,1,0
10229,1,3,62,0,0,4,0,1,0,0,0
10232,1,5,29,1,0,0,0,0,0,1,0
10233,0,15,122,5,0,2,2,0,2,0,0
10234,1,9,15,1,0,0,0,0,0,0,0
10235,0,9,74,0,0,2,2,0,1,1,0
10239,1,1,15,0,0,1,0,0,0,0,1
10240,1,23,15,0,0,0,0,0,1,0,0
10241,1,29,29,0,1,0,0,0,0,1,0
10242,0,33,83,3,2,2,0,0,0,1,0
10244,0,1,93,2,0,1,0,1,3,1,1
10250,1,15,15,0,0,0,0,0,1,0,0
10252,1,21,15,0,0,1,0,0,0,0,0
10255,1,5,29,0,0,0,0,1,0,1,0
10257,1,27,25,1,0,1,0,0,0,0,0
10262,1,15,113,3,0,3,1,0,1,2,0
10263,0,13,15,0,0,0,0,0,1,0,0
10265,1,11,117,5,1,3,1,0,1,0,0
10266,1,11,91,2,1,1,1,2,0,1,0
10267,1,9,58,1,0,2,0,1,1,0,0
10270,1,3,29,0,0,1,0,0,0,1,0
10271,1,1,117,2,1,1,2,1,1,2,1
10273,1,13,15,0,0,0,0,1,0,0,0
10274,1,13,15,0,0,1,0,0,0,0,0
10280,0,29,34,1,0,0,1,0,0,1,0
10282,0,13,121,2,0,3,4,0,1,1,0
10284,1,3,79,1,1,1,2,0,2,0,0
10289,1,13,34,1,1,1,0,0,0,0,0
10291,1,11,80,2,1,1,1,0,1,1,0
10293,0,1,145,3,0,4,1,1,1,2,0
10294,1,15,28,0,0,0,1,0,1,0,0
10295,0,15,104,0,2,2,2,1,2,0,0
10298,1,11,90,1,1,3,1,0,1,1,0
10301,0,11,132,2,4,2,2,0,2,0,0
10302,0,11,15,0,1,0,0,0,0,0,0
10304,1,7,127,3,1,1,1,1,2,2,0
10305,0,9,15,0,1,0,0,0,0,0,0
10307,0,1,47,1,1,1,0,0,0,1,0
10309,1,1,26,0,0,1,1,0,0,0,0
10313,0,11,26,0,1,0,1,0,0,0,0
10314,1,9,68,0,0,0,0,2,1,2,0
10315,1,21,15,0,0,0,0,0,0,1,0
10320,1,1,138,3,2,2,1,0,0,4,0
10321,1,7,15,0,0,1,0,0,0,0,0
10324,1,5,15,0,0,0,1,0,0,0,0
10325,0,15,64,3,1,0,1,0,1,0,0
10326,1,11,29,0,0,0,0,1,0,1,0
10328,1,9,119,6,0,4,0,1,0,0,0
10329,1,15,15,1,0,0,0,0,0,0,0
10338,1,9,104,1,2,2,0,0,0,4,0
10339,1,5,36,0,1,1,0,1,0,0,0
10343,1,19,15,0,0,1,0,0,0,0,0
10344,1,17,25,1,0,1,0,0,0,0,0
10346,1,1,103,1,1,3,1,1,0,2,0
10347,1,7,82,1,1,1,0,2,0,2,0
10348,1,13,15,0,0,0,0,1,0,0,0
10352,1,35,29,0,0,1,0,0,0,1,0
10356,0,15,108,1,0,1,3,1,1,2,0
10359,0,9,76,3,1,0,1,1,1,0,0
10360,1,15,35,0,1,0,1,0,1,0,0
10361,0,23,24,1,1,0,0,0,0,0,0
10363,0,31,24,1,1,0,0,0,0,0,0
10365,1,13,15,0,0,0,0,0,0,1,0
10368,1,9,93,3,0,4,1,0,1,0,0
10369,1,13,26,0,0,1,1,0,0,0,0
10372,1,1,15,1,0,0,0,0,0,0,0
10373,1,13,15,0,0,1,0,0,0,0,0
10374,1,17,29,0,1,0,0,0,0,1,0
10375,1,5,15,0,0,1,0,0,0,0,0
10376,1,11,15,0,0,0,1,0,0,0,0
10377,1,25,82,2,3,2,0,0,1,0,0
10378,1,3,70,1,1,2,0,0,0,2,0
10381,1,3,83,2,1,1,0,0,1,2,1
10382,1,29,15,0,0,1,0,0,0,0,0
10384,0,13,41,3,0,1,0,0,0,0,0
10385,1,5,15,0,0,0,0,0,0,1,0
10386,1,5,29,1,0,0,0,0,0,1,0
10390,1,27,29,0,0,1,0,0,0,1,0
10396,1,15,15,0,1,0,0,0,0,0,0
10398,0,3,27,1,0,0,0,1,0,0,0
10400,0,1,25,1,0,1,0,0,0,0,0
10405,0,23,28,1,0,0,0,0,1,0,0
10406,1,17,15,0,0,1,0,0,0,0,0
10407,1,1,15,0,0,0,0,0,0,1,0
10409,1,29,96,0,1,2,2,0,2,1,0
10411,1,1,38,0,2,0,0,0,0,1,0
10412,1,15,15,0,0,1,0,0,0,0,0
10417,0,25,25,0,0,2,0,0,0,0,0
10418,0,3,15,0,0,0,0,1,0,0,0
10419,0,25,139,0,2,3,3,1,1,2,0
10420,1,11,133,3,1,3,0,3,1,1,1
10421,1,15,105,1,2,5,1,0,1,0,0
10422,1,11,15,0,0,0,0,0,1,0,0
10424,0,15,15,0,0,0,1,0,0,0,0
10426,1,11,15,0,0,0,0,0,1,0,0
10429,0,13,135,5,1,1,4,0,0,1,0
10433,1,13,25,1,0,1,0,0,0,0,1
10437,0,13,122,4,1,2,2,1,1,0,0
10438,1,9,80,1,1,1,1,0,2,1,0
10439,0,5,103,2,1,2,1,0,2,1,0
10440,1,9,146,1,0,3,1,2,2,3,1
10441,1,3,15,0,0,0,0,0,1,0,0
10442,0,15,108,2,1,2,3,1,0,1,0
10444,1,13,15,0,0,0,0,0,1,0,0
10445,1,33,15,0,0,1,0,0,0,0,0
10446,0,15,27,0,0,1,0,1,0,0,0
10447,0,21,129,1,3,1,3,0,1,2,0
10448,1,1,15,1,0,0,0,0,0,0,0
10450,1,21,33,1,0,2,0,0,0,0,0
10451,0,27,28,0,0,1,0,0,1,0,0
10452,1,1,65,1,1,3,0,0,1,0,0
10453,1,9,85,0,2,0,1,0,1,3,1
10454,1,13,15,0,0,0,0,0,1,0,0
10456,0,1,15,0,0,0,0,0,1,0,0
10458,0,29,25,1,0,1,0,0,0,0,0
10460,1,13,29,0,1,0,0,0,0,1,0
10461,0,9,71,1,1,1,1,1,0,1,1
10462,1,27,115,4,1,4,0,0,1,1,0
10463,1,17,15,0,0,1,0,0,0,0,0
10465,0,15,45,2,0,0,2,0,0,0,0
10467,0,11,26,0,1,0,1,0,0,0,0
10468,1,13,15,0,0,1,0,0,0,0,0
10469,1,13,81,0,2,3,0,0,0,2,0
10471,1,7,15,0,0,1,0,0,0,0,0
10473,1,23,25,1,0,1,0,0,0,0,0
10474,1,9,15,1,0,0,0,0,0,0,0
10476,0,21,25,0,1,1,0,0,0,0,0
10477,0,11,27,1,0,0,0,1,0,0,1
10478,1,11,15,0,1,0,0,0,0,0,0
10480,1,7,29,0,0,1,0,0,0,1,0
10481,1,25,47,1,0,1,0,1,0,1,0
10483,1,15,104,3,0,4,0,0,0,2,0
10487,1,7,15,1,0,0,0,0,0,0,0
10488,1,13,15,0,0,0,0,0,0,1,0
10489,1,3,15,0,0,0,1,0,0,0,0
10490,1,1,15,0,0,1,0,0,0,0,0
10491,0,19,50,1,0,1,1,0,0,1,0
10492,1,15,15,0,0,1,0,0,0,0,0
10493,0,15,62,0,0,3,0,0,1,1,0
10494,0,35,55,0,1,0,0,1,0,2,0
10495,1,15,15,1,0,0,0,0,0,0,0
10496,1,13,29,0,0,1,0,0,0,1,0
10498,0,1,54,1,0,3,1,0,0,0,0
10501,0,9,15,0,0,0,0,0,0,1,0
10503,0,3,59,2,0,1,0,1,0,1,1
10504,1,13,41,0,0,0,0,1,1,1,1
10505,1,3,63,0,0,3,0,0,0,2,0
10506,1,13,15,0,0,1,0,0,0,0,0
10507,0,3,23,2,0,0,0,0,0,0,1
10509,1,11,15,0,0,1,0,0,0,0,0
10512,1,31,26,0,1,0,1,0,0,0,0
10513,1,9,15,1,0,0,0,0,0,0,0
10514,1,9,29,0,0,0,0,1,0,1,0
10515,0,19,15,1,0,0,0,0,0,0,0
10516,0,35,25,1,0,1,0,0,0,0,0
10517,1,7,61,1,1,1,0,0,1,1,0
10520,1,3,15,0,0,0,0,1,0,0,0
10521,0,9,123,2,1,2,2,0,1,3,0
10523,1,7,15,1,0,0,0,0,0,0,0
10527,1,3,89,1,3,1,1,0,1,1,0
10529,1,15,15,0,1,0,0,0,0,0,0
10530,0,13,130,0,3,3,2,0,2,1,0
10531,0,1,28,0,0,1,0,0,1,0,0
10534,0,7,15,0,0,0,0,0,1,0,0
10535,0,9,25,1,0,1,0,0,0,0,0
10536,0,15,99,2,0,2,3,1,0,1,0
10537,1,9,23,2,0,0,0,0,0,0,0
10538,1,1,85,1,0,2,1,0,1,2,0
10539,1,35,15,1,0,0,0,0,0,0,0
10540,1,9,15,1,0,0,0,0,0,0,1
10541,1,15,15,0,1,0,0,0,0,0,0
10543,1,9,108,3,0,1,1,0,1,3,1
10545,0,21,28,0,0,0,1,0,1,0,1
10548,1,9,114,4,2,1,0,1,0,2,1
10552,1,7,29,0,0,1,0,0,0,1,0
10553,1,15,92,2,1,1,2,0,0,2,0
10554,0,35,28,0,0,1,0,0,1,0,0
10556,1,7,117,2,2,4,1,0,1,1,0
10560,1,11,40,0,0,0,1,0,0,2,0
10561,1,3,15,0,0,0,0,0,0,1,0
10563,1,9,15,0,0,0,0,0,1,0,0
10564,1,1,27,1,0,0,0,1,0,0,1
10566,0,27,140,3,0,3,0,2,1,3,0
10571,0,9,38,1,1,0,0,0,0,1,0
10572,0,11,15,0,0,0,0,0,1,0,0
10574,1,17,15,0,0,0,1,0,0,0,0
10576,1,33,23,2,0,0,0,0,0,0,0
10577,0,17,50,2,0,0,0,0,1,1,0
10581,1,9,15,0,0,0,0,1,0,0,0
10582,1,1,15,1,0,0,0,0,0,0,1
10584,0,27,28,1,0,0,0,0,1,0,0
10585,1,23,95,3,2,0,2,2,0,0,0
10586,0,13,26,1,0,0,1,0,0,0,0
10588,1,11,97,3,1,1,2,1,1,0,0
10593,0,3,15,0,0,1,0,0,0,0,0
10596,1,19,124,2,2,2,1,1,2,1,0
10597,1,1,15,0,0,0,1,0,0,0,0
10598,1,3,47,1,0,2,0,0,0,1,0
10600,1,11,28,0,0,0,1,0,1,0,0
10602,1,29,15,0,0,1,0,0,0,0,0
10603,1,5,23,2,0,0,0,0,0,0,0
10606,1,11,23,2,0,0,0,0,0,0,0
10609,1,35,15,0,0,1,0,0,0,0,0
10610,1,9,87,1,0,1,0,0,2,3,1
10613,0,31,63,3,1,1,0,0,1,0,0
10617,0,13,29,0,0,0,0,1,0,1,1
10618,0,3,130,1,0,4,3,1,0,2,0
10623,0,15,24,1,1,0,0,0,0,0,0
10625,1,5,40,0,0,0,1,1,0,1,0
10632,0,13,35,1,0,1,0,1,0,0,0
10634,1,9,106,2,0,4,0,1,0,2,0
10636,1,1,40,1,0,0,0,1,1,0,0
10639,1,11,29,0,0,0,0,0,0,2,0
10641,1,9,26,1,0,0,1,0,0,0,0
10642,0,23,114,4,1,2,1,0,0,2,0
10643,0,9,26,0,0,0,2,0,0,0,0
10645,0,11,82,3,0,1,0,0,1,2,0
10647,0,3,29,0,0,1,0,0,0,1,1
10652,1,11,15,0,1,0,0,0,0,0,0
10653,1,31,15,0,0,0,1,0,0,0,0
10654,1,11,15,0,0,1,0,0,0,0,0
10659,1,15,15,0,0,0,0,1,0,0,0
10661,1,11,15,0,0,1,0,0,0,0,0
10663,0,5,28,1,0,0,0,0,1,0,0
10665,1,3,101,1,4,2,1,0,0,1,0
10667,1,11,15,0,0,0,0,0,1,0,0
10672,1,9,65,2,0,3,0,0,0,1,0
10676,1,13,15,1,0,0,0,0,0,0,0
10677,1,3,104,2,2,1,0,1,1,2,0
10678,1,3,15,0,0,0,0,0,0,1,0
10679,0,3,77,3,0,2,0,0,2,0,1
10680,1,3,15,1,0,0,0,0,0,0,0
10682,1,9,15,0,1,0,0,0,0,0,0
10687,0,25,96,1,1,2,0,0,2,2,0
10689,1,17,102,1,2,4,0,1,0,1,0
10690,1,21,29,1,0,0,0,0,0,1,0
10691,1,7,15,0,0,1,0,0,0,0,0
10692,1,33,29,0,0,0,0,0,1,1,0
10694,1,9,15,0,0,0,0,0,0,1,0
10695,1,11,102,3,0,3,2,0,0,1,0
10698,1,9,26,0,0,1,1,0,0,0,0
10700,1,1,29,0,0,0,1,0,0,1,0
10701,1,13,25,1,0,1,0,0,0,0,0
10702,1,15,15,0,0,1,0,0,0,0,0
10703,1,9,29,1,0,0,0,0,0,1,0
10707,1,11,15,0,0,0,1,0,0,0,0
10715,1,15,15,0,0,0,0,0,1,0,0
10719,0,5,127,3,1,1,3,1,0,2,0
10725,0,13,15,1,0,0,0,0,0,0,0
10726,1,35,131,3,3,2,0,1,1,2,0
10727,1,5,27,1,0,0,0,1,0,0,0
10729,1,29,92,1,0,4,1,0,0,2,0
10731,0,13,63,0,0,1,2,0,1,1,1
10733,0,15,142,3,0,4,0,1,2,2,0
10734,1,9,132,2,2,5,0,2,0,1,0
10735,1,1,25,0,1,1,0,0,0,0,0
10736,0,15,49,0,0,3,0,0,0,1,1
10738,1,15,29,1,0,0,0,0,0,1,0
10739,1,25,90,2,1,2,0,1,2,0,0
10741,0,17,29,0,0,0,0,1,0,1,0
10742,1,13,15,1,0,0,0,0,0,0,0
10743,1,19,15,1,0,0,0,0,0,0,0
10744,0,3,82,1,1,1,0,2,0,2,0
10745,0,15,44,1,0,2,1,0,0,0,0
10746,1,11,28,0,0,1,0,0,1,0,0
10751,0,21,70,0,1,1,2,1,1,0,0
10753,1,13,15,1,0,0,0,0,0,0,0
10754,1,11,132,6,0,3,0,0,2,1,1
10755,1,7,42,1,0,0,0,0,1,1,0
10757,1,13,25,1,0,1,0,0,0,0,0
10759,1,3,15,0,0,1,0,0,0,0,0
10761,1,9,15,0,0,1,0,0,0,0,0
10762,1,1,15,0,1,0,0,0,0,0,0
10763,1,17,83,1,1,1,0,0,1,3,0
10765,0,13,79,1,1,2,0,2,1,0,0
10767,1,23,15,0,0,0,0,0,0,1,0
10769,1,15,61,0,0,3,0,1,0,1,0
10771,1,7,15,0,0,1,0,0,0,0,0
10772,1,9,96,1,0,3,0,1,1,2,0
10774,1,31,24,1,1,0,0,0,0,0,0
10776,1,13,15,0,1,0,0,0,0,0,0
10778,0,9,15,0,0,0,0,0,0,1,0
10779,1,15,15,1,0,0,0,0,0,0,0
10781,1,15,15,0,1,0,0,0,0,0,0
10783,0,9,138,4,1,4,0,2,0,1,1
10784,0,3,105,2,1,1,1,2,0,2,0
10785,0,7,15,1,0,0,0,0,0,0,1
10787,0,15,78,0,2,3,1,0,0,1,0
10788,0,9,111,1,3,2,2,0,0,2,0
10789,1,21,15,1,0,0,0,0,0,0,0
10791,0,11,15,0,0,1,0,0,0,0,0
10792,0,11,71,2,0,1,1,0,1,1,0
10795,1,13,142,1,1,3,1,3,0,3,0
10800,1,11,15,0,0,1,0,0,0,0,0
10802,0,7,104,4,1,2,2,0,0,1,0
10803,0,9,81,1,1,1,0,1,1,2,1
10807,1,7,15,0,0,1,0,0,0,0,0
10809,1,15,63,1,0,0,0,2,0,2,0
10811,0,9,23,2,0,0,0,0,0,0,0
10815,1,5,102,3,0,3,2,0,0,1,0
10820,0,19,72,2,0,1,1,0,0,2,0
10823,1,1,91,1,1,2,1,0,0,3,0
10824,0,13,58,1,1,1,1,0,1,0,0
10825,1,5,27,0,0,1,0,1,0,0,0
10826,0,9,61,2,0,1,0,0,0,2,0
10829,1,9,15,0,0,1,0,0,0,0,1
10831,0,13,72,0,1,1,2,0,1,1,0
10838,0,7,71,1,1,1,1,1,0,1,0
10839,1,15,137,2,1,5,0,2,0,2,0
10840,1,15,121,3,0,3,1,3,1,0,0
10841,1,19,50,1,0,0,0,0,1,2,0
10842,0,13,130,1,1,2,2,1,2,2,0
10844,1,21,15,0,0,1,0,0,0,0,0
10846,0,13,15,0,0,0,0,0,0,1,0
10847,1,13,116,2,3,0,1,0,1,3,0
10848,1,3,138,3,2,4,0,1,1,1,0
10851,1,33,106,3,0,1,1,0,2,2,0
10852,1,15,50,1,0,1,0,1,1,0,0
10854,0,3,133,4,0,4,2,0,1,1,0
10855,1,7,26,1,0,0,1,0,0,0,0
10856,0,11,130,4,0,2,2,0,0,3,0
10860,1,13,26,0,0,0,2,0,0,0,0
10863,1,9,89,5,0,1,1,0,0,1,0
10867,1,15,15,0,0,0,0,0,1,0,0
10870,0,1,75,0,0,1,4,0,1,0,0
10871,1,5,15,0,0,1,0,0,0,0,0
10872,0,5,54,0,0,0,1,1,1,1,0
10877,1,11,89,3,1,1,1,0,0,2,0
10883,1,3,116,4,2,0,1,0,1,2,0
10885,0,7,114,1,0,5,2,2,0,0,0
10886,1,3,94,2,2,1,3,0,1,0,0
10890,0,3,73,0,1,0,1,1,3,0,1
10891,1,35,25,0,0,1,0,0,0,1,0
10893,1,7,25,1,0,1,0,0,0,0,0
10894,1,21,138,3,1,3,1,2,0,2,0
10896,1,5,15,0,0,0,1,0,0,0,0
10897,1,15,15,0,0,0,0,0,1,0,0
10899,1,1,25,0,1,1,0,0,0,0,0
10900,1,7,15,1,0,0,0,0,0,0,0
10901,1,23,27,0,0,1,0,1,0,0,0
10902,1,13,112,1,3,2,1,1,0,2,0
10904,1,1,15,1,0,0,0,0,0,0,0
10905,1,19,15,0,1,0,0,0,0,0,0
10907,1,15,15,0,0,1,0,0,0,0,0
10908,0,11,15,0,1,0,0,0,0,0,0
10909,1,1,91,5,0,0,1,0,2,0,0
10910,1,1,15,0,0,1,0,0,0,0,0
10913,0,27,15,0,0,0,0,0,0,1,0
10916,1,1,89,2,0,3,1,0,1,1,0
10918,1,15,29,0,0,0,1,0,0,1,0
10924,1,15,92,0,3,1,1,1,2,0,0
10925,1,9,15,0,0,1,0,0,0,0,0
10928,1,9,15,1,0,0,0,0,0,0,0
10929,1,11,103,2,0,2,0,1,3,1,1
10930,0,7,25,1,0,1,0,0,0,0,0
10931,1,15,15,0,0,1,0,0,0,0,0
10936,1,1,80,0,1,3,2,0,0,1,0
10937,1,9,29,0,0,1,0,0,0,1,1
10938,1,9,121,0,1,3,2,1,0,3,1
10939,1,9,15,0,1,0,0,0,0,0,0
10940,1,27,28,0,0,0,1,0,1,0,0
10941,1,9,140,0,0,1,2,2,2,4,1
10942,0,13,47,1,0,1,0,0,1,1,0
10944,1,13,28,0,0,1,0,0,1,0,0
10946,1,23,45,1,0,2,0,1,0,0,0
10947,1,9,15,0,0,0,1,0,0,0,0
10950,1,13,15,0,1,0,0,0,0,0,0
10951,0,27,138,1,1,3,1,3,3,0,1
10952,1,21,15,0,0,0,0,0,0,1,0
10953,1,1,136,2,3,3,1,0,1,2,0
10954,1,15,15,0,0,0,0,1,0,0,0
10955,1,3,56,1,1,2,0,0,0,1,0
10957,0,33,64,0,0,2,0,1,1,1,1
10960,0,9,122,1,3,2,2,1,1,1,0
10961,1,15,109,4,1,1,1,0,2,1,0
10963,0,1,79,3,0,2,0,0,0,2,0
10967,1,19,25,0,1,1,0,0,0,0,0
10969,1,15,24,0,2,0,0,0,0,0,0
10971,0,21,24,1,1,0,0,0,0,0,0
10974,1,13,15,0,0,1,0,0,0,0,0
10977,1,3,28,0,0,1,0,0,1,0,0
10978,1,11,15,0,1,0,0,0,0,0,0
10981,1,15,15,0,0,1,0,0,0,0,0
10982,1,13,15,1,0,0,0,0,0,0,0
10984,1,9,29,0,0,1,0,0,0,1,0
10987,1,19,15,0,1,0,0,0,0,0,0
10989,0,9,37,0,1,0,0,0,2,0,1
10992,1,23,25,0,1,1,0,0,0,0,0
10994,1,9,15,0,0,1,0,0,0,0,0
10996,1,9,127,1,0,1,1,0,3,4,1
10997,0,9,137,2,1,4,2,0,2,1,0
10998,0,31,26,0,0,1,1,0,0,0,0
11001,1,7,25,0,0,2,0,0,0,0,0
11005,1,19,25,0,1,1,0,0,0,0,0
11008,1,23,25,1,0,1,0,0,0,0,0
11009,1,9,23,2,0,0,0,0,0,0,0
11010,1,5,15,0,0,0,1,0,0,0,0
11012,1,13,28,1,0,0,0,0,1,0,0
11013,1,11,81,1,0,2,2,0,2,0,0
11015,0,7,138,4,0,2,1,0,4,1,1
11018,1,7,33,1,0,1,0,0,0,1,0
11024,0,11,26,0,0,1,1,0,0,0,0
11025,1,3,15,0,0,0,0,0,1,0,0
11026,1,5,29,0,0,0,0,1,0,1,0
11027,1,11,24,0,2,0,0,0,0,0,0
11028,1,29,28,1,0,0,0,0,1,0,0
11031,0,11,28,0,0,1,0,0,1,0,0
11034,0,1,47,1,0,2,0,0,0,1,0
11035,1,27,15,0,0,1,0,0,0,0,0
11036,1,3,55,2,0,2,0,1,0,0,0
11040,1,9,15,0,0,0,0,0,1,0,0
11041,1,9,15,1,0,0,0,0,0,0,0
11042,0,9,48,0,0,2,1,1,0,0,0
11043,0,19,27,1,0,0,0,1,0,0,0
11044,0,11,15,0,0,0,1,0,0,0,0
11050,1,21,28,0,0,0,1,0,1,0,0
11052,1,11,15,0,0,0,1,0,0,0,0
11053,0,13,45,2,1,0,0,0,1,0,0
11062,1,11,15,0,0,0,0,0,1,0,0
11065,0,11,133,4,0,1,2,0,1,3,0
11067,0,5,29,0,0,0,0,1,0,1,0
11069,1,15,83,2,1,1,0,0,1,2,0
11070,1,13,108,3,2,1,1,2,0,1,0
11071,1,3,15,1,0,0,0,0,0,0,0
11072,1,15,129,4,0,4,1,1,1,1,0
11075,1,15,24,1,1,0,0,0,0,0,0
11077,0,5,37,2,0,0,0,0,0,1,1
11079,1,13,15,0,0,0,0,1,0,0,0
11082,1,9,15,0,0,0,1,0,0,0,0
11085,0,17,118,4,1,2,0,0,0,3,0
11086,1,9,15,0,1,0,0,0,0,0,0
11090,1,3,15,1,0,0,0,0,0,0,0
11096,1,9,15,1,0,0,0,0,0,0,0
11097,0,29,15,0,0,0,1,0,0,0,0
11098,1,5,15,0,1,0,0,0,0,0,0
11099,1,15,29,0,0,0,0,0,0,2,0
11100,1,11,120,3,0,4,0,2,1,1,0
11106,0,3,70,2,0,1,1,0,2,0,0
11109,0,5,27,0,0,0,1,1,0,0,0
11110,0,15,71,1,0,1,1,0,2,1,0
11114,0,13,120,1,0,1,3,1,3,1,0
11118,1,29,85,1,1,0,0,1,2,2,0
11120,0,1,70,0,1,2,2,0,0,1,0
11121,1,3,15,0,0,0,0,0,0,1,0
11122,1,3,15,0,0,1,0,0,0,0,0
11125,1,3,15,1,0,0,0,0,0,0,0
11130,1,9,64,2,0,0,0,0,1,2,0
